ifcbName,timeDelta,caloosLink,gsheetsStatus
IFCB Santa Cruz Wharf,"11 hours, 31 minutes",https://ifcb.caloos.org/santa-cruz-municipal-wharf,"Foxxy deployed 18Sep, while Tina waits for parts"
IFCB Bodega Marine Lab,"6 hours, 10 minutes",https://ifcb.caloos.org/bodega-marine-lab,
IFCB Cal Poly Humboldt,No data within the last 60 days,https://ifcb.caloos.org/cal-poly-humboldt-hioc,This lag is due to gap in technician at Humboldt. New tech is being trained by Jeff Abel
IFCB MBARI Power Buoy,"14 hours, 20 minutes",https://ifcb.caloos.org/mbari-power-buoy,
IFCB San Francisco Bay Cruises,"15 days, 7 hours, 24 minutes",https://ifcb.caloos.org/san-francisco-bay-cruises,
