gliderName,timeDelta,caloosLink,gsheetsStatus
Trinidad Head Line,"7 hours, 20 minutes",https://erddap.cencoos.org/erddap/tabledap/OSU266-20250307T0000.graph,Operational
Trinidad Head Line,"7 hours, 20 minutes",https://erddap.cencoos.org/erddap/tabledap/OSU266-20250307T0000.graph,Operational
Line 56 (Bodega),"4 days, 11 hours, 56 minutes",https://erddap.cencoos.org/erddap/tabledap/sp028-20250520T1836.graph,Spray 28 deployed
Line 56 (Bodega),"4 days, 11 hours, 56 minutes",https://erddap.cencoos.org/erddap/tabledap/sp028-20250520T1836.graph,Spray 28 deployed
Line 66 (Monterey),"4 days, 13 hours, 46 minutes",https://erddap.cencoos.org/erddap/tabledap/sp064-20250403T1816.graph,Operational
Line 66 (Monterey),"4 days, 13 hours, 46 minutes",https://erddap.cencoos.org/erddap/tabledap/sp064-20250403T1816.graph,Operational
