hfrName,timeDelta,caloosLink
6km HF Radar Totals,"2 hours, 5 minutes",https://data.caloos.org/#module-metadata/de91c282-01e2-11e2-ad19-00219bfe5679
2km HF Radar Totals,"2 hours, 5 minutes",https://data.caloos.org/#module-metadata/de91c282-01e2-11e2-ad19-00219bfe5670/efc0aa3c-045e-43b5-a014-a04586e07950
1km HF Radar Totals,"2 hours, 5 minutes",https://data.caloos.org/#module-metadata/de91c282-01e2-11e2-ad19-00219bfe5671/9818b1da-06d8-430d-a5b4-66b76b9176a4
500m HF Radar Totals,"2 hours, 5 minutes",https://data.caloos.org/#module-metadata/de91c282-01e2-11e2-ad19-00219bfe5672/67b10aed-4814-4f6c-9def-545aff1e6b9e
